event_type,tier,spec,lag,effect,se,effect_pw,t,n_events,n_players
material,fm_plus,zpre,1,-0.6114253304802377,0.01840369733437546,-0.5551603010987671,-33.22296163489839,17571,136
material,fm_plus,zpre,2,0.011837753520122106,0.0184245277992612,0.009937768384301934,0.6424996965510718,16266,136
material,fm_plus,zpre,3,-0.01108668912449725,0.01838968483894831,-0.03109727320179745,-0.6028754283497165,15125,136
material,lower,nlegal,-6,0.0022486119284120093,0.011465942018043542,0.009191679569803218,0.19611227100864886,18749,1845
material,lower,nlegal,-5,-0.0011401907429684239,0.011157396569495331,-0.012627851415727144,-0.10219146875945423,19519,1844
material,lower,nlegal,-4,0.012594905067776616,0.010613229013385789,0.012381195440709964,1.186717543915378,20285,1849
material,lower,nlegal,-3,0.036314818918858634,0.01058589900669808,0.036236761481524056,3.430489833303807,21040,1854
material,lower,nlegal,-2,0.04408556593663682,0.010568941801368827,0.03617920621424339,4.17123745831651,21753,1860
material,lower,nlegal,-1,0.06726756473291041,0.010318245209541898,0.05422141782462219,6.519283402056009,22199,1858
material,lower,nlegal,0,0.2121672294859265,0.010360351970388782,0.20245804034261872,20.478766560472824,23671,1867
material,lower,nlegal,1,-0.592933758172253,0.01121364302393684,-0.5908375040763147,-52.87610430495836,21564,1848
material,lower,nlegal,2,-0.019700270225138677,0.01098241581124954,-0.005613316922739233,-1.79380116030202,22045,1864
material,lower,nlegal,3,-0.04318826837948007,0.011052614479735025,-0.029020219907921113,-3.9075160414457395,21190,1862
material,lower,none,-6,0.028605122497053777,0.010469157900731423,0.03220493914912399,2.7323231503706036,20017,1859
material,lower,none,-5,0.022634780702774384,0.010187739938733271,0.027609990865498285,2.221766637045582,20801,1860
material,lower,none,-4,0.033478516479200776,0.01002396023992547,0.040609697730301125,3.3398492888924003,21574,1861
material,lower,none,-3,0.057415973477599594,0.009841164217863463,0.06538344344088959,5.8342663740311735,22354,1865
material,lower,none,-2,0.06542174408183854,0.009797251935480172,0.05814062059952382,6.677560658098169,23067,1867
material,lower,none,-1,0.18227285849134356,0.009824195073486492,0.17103453201835864,18.55346490251003,23524,1864
material,lower,none,0,0.29765485468610997,0.00954981239384028,0.28496043421203693,31.168659907717164,25000,1871
material,lower,none,1,-0.44803264784960073,0.009563772691389479,-0.4446534800380567,-46.84685241975445,22862,1858
material,lower,none,2,0.015596585574029527,0.009685222162171539,0.0038860452216686737,1.6103487677284825,23394,1868
material,lower,none,3,-0.008060466212629102,0.009662540155412761,-0.01092893856204861,-0.8341974349378295,22512,1867
material,lower,zpre,-6,0.01635138701080104,0.015244801247115256,0.007470479859283344,1.0725877461928328,14661,1724
material,lower,zpre,-5,0.014392930224769536,0.014476240644713199,0.00028553855889324636,0.9942450238298512,15478,1746
material,lower,zpre,-4,0.01958804407875998,0.013922074209216349,0.018082443646445553,1.4069774219270277,16234,1764
material,lower,zpre,-3,-0.008340503497873656,0.011891256041597877,0.008787850373817973,-0.7013980246238907,17337,1782
material,lower,zpre,-2,0.006437901547518616,0.010866965101270158,-0.006091566463962106,0.5924286576356206,18495,1803
material,lower,zpre,-1,0.014146473783156475,0.010659793045726703,-0.0024746130519828057,1.3270870946999775,19637,1816
material,lower,zpre,0,0.21619915566292286,0.012556722885598616,0.2287110617548584,17.217800984593122,21237,1830
material,lower,zpre,1,-0.6335967028427656,0.013244892679051734,-0.6157207665044971,-47.837058268117865,19646,1808
material,lower,zpre,2,-0.03459772376508469,0.013677604183753267,0.007641045217801966,-2.529516375841689,18539,1792
material,lower,zpre,3,-0.06141024616987953,0.01412534208113577,-0.06340716603934891,-4.347522758538513,17478,1779
material_see,lower,nlegal,-6,0.023152845558634037,0.01233947067659843,0.018585555558453773,1.8763240470714004,19326,1853
material_see,lower,nlegal,-5,0.02402578776001738,0.011160841346597424,0.023664242564381675,2.1526860757089836,20028,1852
material_see,lower,nlegal,-4,0.04021498401856905,0.011458693194255683,0.032002710314734444,3.509561111098522,20748,1861
material_see,lower,nlegal,-3,0.027487334061945864,0.010730778639464832,0.015770111848302494,2.5615414300743344,21365,1864
material_see,lower,nlegal,-2,0.04823278373091263,0.010442046848539922,0.0553226540461929,4.61909283022005,21999,1864
material_see,lower,nlegal,-1,0.05613369945992969,0.010373959381113693,0.055254155461993595,5.4110197849939405,22453,1864
material_see,lower,nlegal,0,0.09801391036405337,0.010259139633843128,0.10411904437356932,9.553813854011931,23719,1870
material_see,lower,nlegal,1,-0.21357185970672007,0.01143286697040193,-0.22252550462195317,-18.680516467096773,22055,1864
material_see,lower,nlegal,2,-0.04857467326034612,0.011054238151572696,-0.05519065468673655,-4.394212662537522,21402,1858
material_see,lower,nlegal,3,-0.024539625766535903,0.010930215427204503,-0.011437372848807586,-2.2451182165594448,20531,1859
